waypoint1	waypoint2	distance_m	duration_s
French Quarter, New Orleans, LA	Liberty Bell, 6th Street, Philadelphia, PA	1966566	63829
Toltec Mounds, Scott, AR	Taliesin, County Road C, Spring Green, Wisconsin	1206666	41652
French Quarter, New Orleans, LA	Statue of Liberty, Liberty Island, NYC, NY	2098917	68085
Craters of the Moon National Monument & Preserve, Arco, ID	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2367353	77249
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	524146	17822
Grand Canyon National Park, Arizona	Lost World Caverns, Lewisburg, WV	3298120	104573
Yellowstone National Park, WY 82190	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3926192	134748
Olympia Entertainment, Woodward Avenue, Detroit, MI	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	725616	23870
Grand Canyon National Park, Arizona	White House, Pennsylvania Avenue Northwest, Washington, DC	3663661	116747
The Breakers, Ochre Point Avenue, Newport, RI	Wright Brothers National Memorial Visitor Center, Manteo, NC	1008190	38490
USS Alabama, Battleship Parkway, Mobile, AL	Carlsbad Caverns National Park, Carlsbad, NM	1744228	60023
Lost World Caverns, Lewisburg, WV	Liberty Bell, 6th Street, Philadelphia, PA	637355	21606
Mount Vernon, Fairfax County, Virginia	Ashfall Fossil Bed, Royal, NE	2122432	71750
Hoover Dam, NV	Ashfall Fossil Bed, Royal, NE	2046706	68577
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Statue of Liberty, Liberty Island, NYC, NY	1480259	49475
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Sumter National Monument, Sullivan's Island, SC	1885893	62535
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2879277	91731
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Craters of the Moon National Monument & Preserve, Arco, ID	1222590	40995
Mount Vernon, Fairfax County, Virginia	Wright Brothers National Memorial Visitor Center, Manteo, NC	441414	16043
Maryland State House, 100 State Cir, Annapolis, MD 21401	The Alamo, Alamo Plaza, San Antonio, TX	2642482	85088
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Congress Hall, Congress Place, Cape May, NJ 08204	2437518	82647
French Quarter, New Orleans, LA	Acadia National Park, Maine	2884290	95758
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	USS Constitution, Boston, MA	2359929	78404
The Breakers, Ochre Point Avenue, Newport, RI	Acadia National Park, Maine	561691	21351
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Shelburne Farms, Harbor Road, Shelburne, VT	1532580	55829
Yellowstone National Park, WY 82190	Liberty Bell, 6th Street, Philadelphia, PA	3474172	117384
Glacier National Park, West Glacier, MT	Lost World Caverns, Lewisburg, WV	3427836	115122
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Shelburne Farms, Harbor Road, Shelburne, VT	3167088	107733
Pikes Peak, Colorado	Congress Hall, Congress Place, Cape May, NJ 08204	2949957	99226
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Graceland, Elvis Presley Boulevard, Memphis, TN	789241	25974
Grand Canyon National Park, Arizona	Wright Brothers National Memorial Visitor Center, Manteo, NC	3764546	121017
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Shelburne Farms, Harbor Road, Shelburne, VT	2221537	77481
Craters of the Moon National Monument & Preserve, Arco, ID	Liberty Bell, 6th Street, Philadelphia, PA	3705218	120345
Toltec Mounds, Scott, AR	Bryce Canyon National Park, Hwy 63, Bryce, UT	2304744	77180
USS Alabama, Battleship Parkway, Mobile, AL	French Quarter, New Orleans, LA	232384	7548
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Liberty Bell, 6th Street, Philadelphia, PA	1865848	62617
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Statue of Liberty, Liberty Island, NYC, NY	1973392	66708
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Glacier National Park, West Glacier, MT	2707726	86635
Pikes Peak, Colorado	Glacier National Park, West Glacier, MT	1632053	57988
White House, Pennsylvania Avenue Northwest, Washington, DC	Wright Brothers National Memorial Visitor Center, Manteo, NC	462796	16868
Craters of the Moon National Monument & Preserve, Arco, ID	Statue of Liberty, Liberty Island, NYC, NY	3754373	122382
French Quarter, New Orleans, LA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1245550	40140
Taliesin, County Road C, Spring Green, Wisconsin	Maryland State House, 100 State Cir, Annapolis, MD 21401	1461552	50046
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2672008	87067
Olympia Entertainment, Woodward Avenue, Detroit, MI	Bryce Canyon National Park, Hwy 63, Bryce, UT	2939571	94830
Terrace Hill, Grand Avenue, Des Moines, IA	Lost World Caverns, Lewisburg, WV	1444979	48140
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Olympia Entertainment, Woodward Avenue, Detroit, MI	1731916	57662
Columbia River Gorge National Scenic Area, Oregon	Bryce Canyon National Park, Hwy 63, Bryce, UT	1502683	48485
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Craters of the Moon National Monument & Preserve, Arco, ID	4157603	137721
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1166326	37861
New Castle Historic District, Delaware	Mount Vernon, Fairfax County, Virginia	169236	6987
White House, Pennsylvania Avenue Northwest, Washington, DC	Ashfall Fossil Bed, Royal, NE	2100653	71199
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Congress Hall, Congress Place, Cape May, NJ 08204	1311091	45183
French Quarter, New Orleans, LA	Mount Vernon, Fairfax County, Virginia	1744419	56126
Hoover Dam, NV	Shelburne Farms, Harbor Road, Shelburne, VT	4286375	141857
Terrace Hill, Grand Avenue, Des Moines, IA	Wright Brothers National Memorial Visitor Center, Manteo, NC	2072573	69463
Gateway Arch, Washington Avenue, St Louis, MO	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1568220	50095
USS Alabama, Battleship Parkway, Mobile, AL	Graceland, Elvis Presley Boulevard, Memphis, TN	582585	21366
Fort Sumter National Monument, Sullivan's Island, SC	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	906811	31825
Columbia River Gorge National Scenic Area, Oregon	Fort Sumter National Monument, Sullivan's Island, SC	4507989	144700
Grand Canyon National Park, Arizona	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1903087	63511
Acadia National Park, Maine	Glacier National Park, West Glacier, MT	4450701	151201
The Breakers, Ochre Point Avenue, Newport, RI	New Castle Historic District, Delaware	588702	21920
Fort Snelling, Tower Avenue, Saint Paul, MN	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2086009	69908
Congress Hall, Congress Place, Cape May, NJ 08204	Bryce Canyon National Park, Hwy 63, Bryce, UT	3823059	126064
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Shelburne Farms, Harbor Road, Shelburne, VT	2658016	91983
Yellowstone National Park, WY 82190	San Andreas Fault, San Benito County, CA	1747331	61372
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1523446	52205
USS Alabama, Battleship Parkway, Mobile, AL	Cape Canaveral, FL	880087	27414
Olympia Entertainment, Woodward Avenue, Detroit, MI	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1066123	36422
Olympia Entertainment, Woodward Avenue, Detroit, MI	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1245101	40929
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Liberty Bell, 6th Street, Philadelphia, PA	918887	31360
Gateway Arch, Washington Avenue, St Louis, MO	USS Constitution, Boston, MA	1895822	63806
New Castle Historic District, Delaware	Olympia Entertainment, Woodward Avenue, Detroit, MI	969240	33417
French Quarter, New Orleans, LA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3596447	114972
Gateway Arch, Washington Avenue, St Louis, MO	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1299549	43534
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3385990	114114
Toltec Mounds, Scott, AR	Craters of the Moon National Monument & Preserve, Arco, ID	2720150	87801
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Columbia River Gorge National Scenic Area, Oregon	3048673	97333
Toltec Mounds, Scott, AR	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2177479	71915
Toltec Mounds, Scott, AR	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	756195	24930
French Quarter, New Orleans, LA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	331934	11296
Terrace Hill, Grand Avenue, Des Moines, IA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	545245	17991
Yellowstone National Park, WY 82190	Shelburne Farms, Harbor Road, Shelburne, VT	3699278	128633
Toltec Mounds, Scott, AR	New Castle Historic District, Delaware	1783543	59306
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Glacier National Park, West Glacier, MT	2894639	99605
Carlsbad Caverns National Park, Carlsbad, NM	Liberty Bell, 6th Street, Philadelphia, PA	3152378	105175
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lost World Caverns, Lewisburg, WV	2685724	88471
Ashfall Fossil Bed, Royal, NE	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	957982	33720
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1944125	62452
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1255436	41838
Olympia Entertainment, Woodward Avenue, Detroit, MI	Mount Vernon, Fairfax County, Virginia	869309	29351
White House, Pennsylvania Avenue Northwest, Washington, DC	The Alamo, Alamo Plaza, San Antonio, TX	2579805	82885
Graceland, Elvis Presley Boulevard, Memphis, TN	Lost World Caverns, Lewisburg, WV	1111929	36024
French Quarter, New Orleans, LA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	995629	31636
White House, Pennsylvania Avenue Northwest, Washington, DC	Acadia National Park, Maine	1138096	41243
USS Alabama, Battleship Parkway, Mobile, AL	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1170394	37452
Hanford Site, Benton County, WA	Graceland, Elvis Presley Boulevard, Memphis, TN	3425762	112631
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Snelling, Tower Avenue, Saint Paul, MN	1778589	59960
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Craters of the Moon National Monument & Preserve, Arco, ID	2873248	93525
Acadia National Park, Maine	Lost World Caverns, Lewisburg, WV	1555611	53548
USS Alabama, Battleship Parkway, Mobile, AL	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	864616	27280
Congress Hall, Congress Place, Cape May, NJ 08204	Graceland, Elvis Presley Boulevard, Memphis, TN	1717234	57474
Cape Canaveral, FL	French Quarter, New Orleans, LA	1112268	34794
Fort Snelling, Tower Avenue, Saint Paul, MN	Graceland, Elvis Presley Boulevard, Memphis, TN	1288825	43971
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Shelburne Farms, Harbor Road, Shelburne, VT	387650	13402
French Quarter, New Orleans, LA	Graceland, Elvis Presley Boulevard, Memphis, TN	626412	19965
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Glacier National Park, West Glacier, MT	1154489	42058
Grand Canyon National Park, Arizona	The Breakers, Ochre Point Avenue, Newport, RI	4129628	135537
Yellowstone National Park, WY 82190	Fort Sumter National Monument, Sullivan's Island, SC	3522910	118765
New Castle Historic District, Delaware	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	870716	30989
Taliesin, County Road C, Spring Green, Wisconsin	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1461512	48271
Olympia Entertainment, Woodward Avenue, Detroit, MI	Ashfall Fossil Bed, Royal, NE	1419166	48106
The Breakers, Ochre Point Avenue, Newport, RI	French Quarter, New Orleans, LA	2389577	79097
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Graceland, Elvis Presley Boulevard, Memphis, TN	2292070	78013
Terrace Hill, Grand Avenue, Des Moines, IA	Hanford Site, Benton County, WA	2621379	85570
Fort Snelling, Tower Avenue, Saint Paul, MN	Fort Sumter National Monument, Sullivan's Island, SC	2120739	69841
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Hanford Site, Benton County, WA	3463295	111955
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	USS Constitution, Boston, MA	3294781	109099
Columbia River Gorge National Scenic Area, Oregon	Maryland State House, 100 State Cir, Annapolis, MD 21401	4394751	141962
Fort Sumter National Monument, Sullivan's Island, SC	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1009262	33024
Toltec Mounds, Scott, AR	Olympia Entertainment, Woodward Avenue, Detroit, MI	1401949	46014
Hanford Site, Benton County, WA	The Alamo, Alamo Plaza, San Antonio, TX	3128727	105223
Acadia National Park, Maine	Craters of the Moon National Monument & Preserve, Arco, ID	4497108	147927
Statue of Liberty, Liberty Island, NYC, NY	Liberty Bell, 6th Street, Philadelphia, PA	151962	6041
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	2183782	71276
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Ashfall Fossil Bed, Royal, NE	2270401	77094
The Breakers, Ochre Point Avenue, Newport, RI	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1768016	61379
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Craters of the Moon National Monument & Preserve, Arco, ID	1957641	63784
Fort Snelling, Tower Avenue, Saint Paul, MN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	793789	27628
Olympia Entertainment, Woodward Avenue, Detroit, MI	Graceland, Elvis Presley Boulevard, Memphis, TN	1204459	39984
Fort Sumter National Monument, Sullivan's Island, SC	Liberty Bell, 6th Street, Philadelphia, PA	1077955	35867
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Ashfall Fossil Bed, Royal, NE	2649693	91274
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Carlsbad Caverns National Park, Carlsbad, NM	1466457	49878
Wright Brothers National Memorial Visitor Center, Manteo, NC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1643006	52464
Statue of Liberty, Liberty Island, NYC, NY	Wright Brothers National Memorial Visitor Center, Manteo, NC	720091	27748
Craters of the Moon National Monument & Preserve, Arco, ID	Wright Brothers National Memorial Visitor Center, Manteo, NC	4003167	130554
White House, Pennsylvania Avenue Northwest, Washington, DC	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2624980	86243
Olympia Entertainment, Woodward Avenue, Detroit, MI	Cape Canaveral, FL	1868907	62204
French Quarter, New Orleans, LA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	857117	29151
Toltec Mounds, Scott, AR	Graceland, Elvis Presley Boulevard, Memphis, TN	229031	7980
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Ashfall Fossil Bed, Royal, NE	614858	21997
Grand Canyon National Park, Arizona	USS Constitution, Boston, MA	4225504	136221
Hoover Dam, NV	Fort Sumter National Monument, Sullivan's Island, SC	3585715	114476
Toltec Mounds, Scott, AR	Acadia National Park, Maine	2768590	92871
Taliesin, County Road C, Spring Green, Wisconsin	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1730362	58954
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Graceland, Elvis Presley Boulevard, Memphis, TN	671337	22048
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Graceland, Elvis Presley Boulevard, Memphis, TN	1012713	34441
Fort Snelling, Tower Avenue, Saint Paul, MN	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2146870	73247
New Castle Historic District, Delaware	Ashfall Fossil Bed, Royal, NE	2222792	76015
Graceland, Elvis Presley Boulevard, Memphis, TN	Bryce Canyon National Park, Hwy 63, Bryce, UT	2498718	83370
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	USS Constitution, Boston, MA	167445	6170
Pikes Peak, Colorado	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1765180	59093
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3928478	127872
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Acadia National Park, Maine	3203271	108134
Hoover Dam, NV	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2972025	94063
Statue of Liberty, Liberty Island, NYC, NY	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1993400	64780
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Graceland, Elvis Presley Boulevard, Memphis, TN	1905830	63387
Shelburne Farms, Harbor Road, Shelburne, VT	Congress Hall, Congress Place, Cape May, NJ 08204	705691	26154
Pikes Peak, Colorado	Hanford Site, Benton County, WA	1948708	66362
Ashfall Fossil Bed, Royal, NE	Wright Brothers National Memorial Visitor Center, Manteo, NC	2532015	86133
White House, Pennsylvania Avenue Northwest, Washington, DC	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1754476	59529
New Castle Historic District, Delaware	Pikes Peak, Colorado	2811795	95767
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Ashfall Fossil Bed, Royal, NE	2609774	86300
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	309451	10582
Ashfall Fossil Bed, Royal, NE	Bryce Canyon National Park, Hwy 63, Bryce, UT	1698285	58525
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Ashfall Fossil Bed, Royal, NE	1348445	46212
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Craters of the Moon National Monument & Preserve, Arco, ID	1100123	42063
Terrace Hill, Grand Avenue, Des Moines, IA	Glacier National Park, West Glacier, MT	2098159	72106
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2334696	76590
Statue of Liberty, Liberty Island, NYC, NY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1477357	50367
Maryland State House, 100 State Cir, Annapolis, MD 21401	Carlsbad Caverns National Park, Carlsbad, NM	2992106	99786
The Alamo, Alamo Plaza, San Antonio, TX	Liberty Bell, 6th Street, Philadelphia, PA	2800673	90517
Toltec Mounds, Scott, AR	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1238464	41992
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Wright Brothers National Memorial Visitor Center, Manteo, NC	1137005	39798
Columbia River Gorge National Scenic Area, Oregon	Carlsbad Caverns National Park, Carlsbad, NM	2526761	87889
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	259949	9994
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Bryce Canyon National Park, Hwy 63, Bryce, UT	1787884	59115
Carlsbad Caverns National Park, Carlsbad, NM	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1374729	46794
Statue of Liberty, Liberty Island, NYC, NY	Lost World Caverns, Lewisburg, WV	770142	25973
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Sumter National Monument, Sullivan's Island, SC	854668	27799
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2886068	98152
Pikes Peak, Colorado	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3418392	114816
Columbia River Gorge National Scenic Area, Oregon	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1747344	57118
Taliesin, County Road C, Spring Green, Wisconsin	Hanford Site, Benton County, WA	2865645	92733
White House, Pennsylvania Avenue Northwest, Washington, DC	San Andreas Fault, San Benito County, CA	4598813	147894
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Glacier National Park, West Glacier, MT	2204538	75629
Cape Canaveral, FL	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2331916	77159
Glacier National Park, West Glacier, MT	Craters of the Moon National Monument & Preserve, Arco, ID	711696	29202
New Castle Historic District, Delaware	Acadia National Park, Maine	1073491	38645
The Breakers, Ochre Point Avenue, Newport, RI	Congress Hall, Congress Place, Cape May, NJ 08204	545003	20318
Hanford Site, Benton County, WA	Craters of the Moon National Monument & Preserve, Arco, ID	804532	27972
Taliesin, County Road C, Spring Green, Wisconsin	Glacier National Park, West Glacier, MT	2203624	74921
Maryland State House, 100 State Cir, Annapolis, MD 21401	Liberty Bell, 6th Street, Philadelphia, PA	206057	7508
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1954380	62930
Gateway Arch, Washington Avenue, St Louis, MO	Ashfall Fossil Bed, Royal, NE	972540	33855
Acadia National Park, Maine	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2776915	92319
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Statue of Liberty, Liberty Island, NYC, NY	2772422	91130
New Castle Historic District, Delaware	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1187916	40942
Cape Canaveral, FL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4607140	147689
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Acadia National Park, Maine	5418743	175874
Fort Sumter National Monument, Sullivan's Island, SC	Shelburne Farms, Harbor Road, Shelburne, VT	1672521	57559
Pikes Peak, Colorado	Bryce Canyon National Park, Hwy 63, Bryce, UT	998488	37396
Graceland, Elvis Presley Boulevard, Memphis, TN	Vicksburg National Military Park, Clay Street, Vicksburg, MS	382413	12334
Columbia River Gorge National Scenic Area, Oregon	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4663561	150870
Hanford Site, Benton County, WA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4791032	158170
Columbia River Gorge National Scenic Area, Oregon	Craters of the Moon National Monument & Preserve, Arco, ID	845463	29167
Hoover Dam, NV	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2084705	67957
Cape Canaveral, FL	USS Constitution, Boston, MA	2104495	69501
Terrace Hill, Grand Avenue, Des Moines, IA	Hoover Dam, NV	2328938	73843
Fort Sumter National Monument, Sullivan's Island, SC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1494160	48908
Terrace Hill, Grand Avenue, Des Moines, IA	Pikes Peak, Colorado	1230185	40606
Pikes Peak, Colorado	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1833065	62378
Statue of Liberty, Liberty Island, NYC, NY	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1340775	44592
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Liberty Bell, 6th Street, Philadelphia, PA	2722541	89196
Congress Hall, Congress Place, Cape May, NJ 08204	Liberty Bell, 6th Street, Philadelphia, PA	135318	5552
USS Alabama, Battleship Parkway, Mobile, AL	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2975383	98834
Ashfall Fossil Bed, Royal, NE	Carlsbad Caverns National Park, Carlsbad, NM	1584986	59823
Terrace Hill, Grand Avenue, Des Moines, IA	Gateway Arch, Washington Avenue, St Louis, MO	565761	19642
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Wright Brothers National Memorial Visitor Center, Manteo, NC	3283326	109583
The Breakers, Ochre Point Avenue, Newport, RI	Bryce Canyon National Park, Hwy 63, Bryce, UT	4054078	133213
Cape Canaveral, FL	Statue of Liberty, Liberty Island, NYC, NY	1759332	57113
Grand Canyon National Park, Arizona	Acadia National Park, Maine	4655701	151535
Pikes Peak, Colorado	Acadia National Park, Maine	3757896	125022
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Bryce Canyon National Park, Hwy 63, Bryce, UT	2651338	85643
White House, Pennsylvania Avenue Northwest, Washington, DC	Statue of Liberty, Liberty Island, NYC, NY	362737	13542
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Bryce Canyon National Park, Hwy 63, Bryce, UT	1328462	43503
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1032820	34557
Yellowstone National Park, WY 82190	Hanford Site, Benton County, WA	1214950	42783
Hanford Site, Benton County, WA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1460919	47102
Yellowstone National Park, WY 82190	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2747124	93424
White House, Pennsylvania Avenue Northwest, Washington, DC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4524629	145409
Hanford Site, Benton County, WA	Carlsbad Caverns National Park, Carlsbad, NM	2485830	86695
USS Constitution, Boston, MA	Wright Brothers National Memorial Visitor Center, Manteo, NC	1063167	40149
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3751821	121000
USS Alabama, Battleship Parkway, Mobile, AL	Hanford Site, Benton County, WA	4050753	131727
Maryland State House, 100 State Cir, Annapolis, MD 21401	Bryce Canyon National Park, Hwy 63, Bryce, UT	3616879	118617
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	861072	27748
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Gateway Arch, Washington Avenue, St Louis, MO	878894	29399
Hoover Dam, NV	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4515460	147889
Fort Snelling, Tower Avenue, Saint Paul, MN	Hoover Dam, NV	2719740	86202
USS Constitution, Boston, MA	Ashfall Fossil Bed, Royal, NE	2559024	86503
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lost World Caverns, Lewisburg, WV	510469	18451
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Wright Brothers National Memorial Visitor Center, Manteo, NC	2302762	76217
USS Alabama, Battleship Parkway, Mobile, AL	Craters of the Moon National Monument & Preserve, Arco, ID	3412760	112725
Terrace Hill, Grand Avenue, Des Moines, IA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1340289	44536
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3683936	117715
Shelburne Farms, Harbor Road, Shelburne, VT	Ashfall Fossil Bed, Royal, NE	2420608	85242
